Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,4,extremal_mask_mse,1.0,1.0,0.9433,0.7364,3.529e+05,4.123e+03,0.898,0.8757
42,3,extremal_mask_mse,1.0,1.0,0.9642,0.7299,3.484e+05,4.15e+03,0.9012,0.8879
42,2,extremal_mask_mse,1.0,1.0,0.9842,0.7491,3.604e+05,4.171e+03,0.9133,0.9082
42,0,extremal_mask_mse,1.0,1.0,0.966,0.7385,3.533e+05,4.259e+03,0.9043,0.8926
42,1,extremal_mask_mse,1.0,1.0,0.9697,0.7462,3.589e+05,4.072e+03,0.9082,0.8979
42,0,extremal_mas_deletion,1.0,1.0,0.3422,0.9042,2.554e+05,1.161e+04,0.5296,0.3443
42,1,extremal_mas_deletion,1.0,1.0,0.3411,0.897,2.498e+05,1.228e+04,0.524,0.341
42,4,extremal_mas_deletion,1.0,1.0,0.3426,0.9026,2.548e+05,1.172e+04,0.5326,0.3462
42,2,extremal_mas_deletion,1.0,1.0,0.3419,0.8991,2.534e+05,1.19e+04,0.529,0.3446
42,3,extremal_mas_deletion,1.0,1.0,0.3425,0.9014,2.546e+05,1.171e+04,0.5314,0.3447
