Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,4,extremal_mask_mse,1.0,1.0,0.9001,0.7606,2.969e+05,6.961e+03,0.9063,0.8762
42,3,extremal_mask_mse,1.0,1.0,0.9102,0.7561,2.899e+05,7.239e+03,0.9063,0.8796
42,2,extremal_mask_mse,1.0,1.0,0.9323,0.772,3.015e+05,6.798e+03,0.917,0.9009
42,0,extremal_mask_mse,1.0,1.0,0.9149,0.7587,2.938e+05,6.955e+03,0.9075,0.8807
42,1,extremal_mask_mse,1.0,1.0,0.9102,0.7621,3.021e+05,6.771e+03,0.9074,0.8843
42,0,extremal_mask,1.0,1.0,0.9332,0.6907,1.631e+05,1.495e+04,0.9116,0.8661
42,4,extremal_mask,1.0,1.0,0.9226,0.6731,1.492e+05,1.628e+04,0.9063,0.848
42,1,extremal_mask,1.0,1.0,0.9365,0.6994,1.723e+05,1.416e+04,0.9122,0.87
42,2,extremal_mask,1.0,1.0,0.9284,0.6758,1.552e+05,1.521e+04,0.9046,0.8538
42,3,extremal_mask,1.0,1.0,0.9286,0.6862,1.55e+05,1.55e+04,0.9097,0.8633
42,0,extremal_mask_corrected,1.0,1.0,0.8171,0.5986,1.376e+05,1.853e+04,0.8661,0.7522
42,1,extremal_mask_corrected,1.0,1.0,0.8332,0.6147,1.505e+05,1.719e+04,0.8709,0.7749
42,4,extremal_mask_corrected,1.0,1.0,0.8145,0.5946,1.365e+05,1.817e+04,0.8636,0.7458
42,2,extremal_mask_corrected,1.0,1.0,0.8458,0.6116,1.464e+05,1.757e+04,0.8753,0.7815
42,3,extremal_mask_corrected,1.0,1.0,0.8026,0.5939,1.42e+05,1.807e+04,0.8607,0.7412
42,0,extremal_mas_deletion,1.0,1.0,0.3422,0.9042,2.554e+05,1.161e+04,0.5296,0.3443
42,1,extremal_mas_deletion,1.0,1.0,0.3411,0.897,2.498e+05,1.228e+04,0.524,0.341
42,4,extremal_mas_deletion,1.0,1.0,0.3426,0.9026,2.548e+05,1.172e+04,0.5326,0.3462
42,2,extremal_mas_deletion,1.0,1.0,0.3419,0.8991,2.534e+05,1.19e+04,0.529,0.3446
42,3,extremal_mas_deletion,1.0,1.0,0.3425,0.9014,2.546e+05,1.171e+04,0.5314,0.3447
42,1,extremal_mask_ce,1.0,1.0,0.9228,0.6634,1.514e+05,1.596e+04,0.9012,0.8455
42,0,extremal_mask_ce,1.0,1.0,0.9072,0.645,1.432e+05,1.628e+04,0.893,0.8234
42,2,extremal_mask_ce,1.0,1.0,0.9358,0.6729,1.611e+05,1.556e+04,0.9087,0.8654
42,4,extremal_mask_ce,1.0,1.0,0.9076,0.65,1.47e+05,1.594e+04,0.895,0.8234
42,3,extremal_mask_ce,1.0,1.0,0.9073,0.6518,1.514e+05,1.551e+04,0.8957,0.8243
