Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,3,Average,0.1,deep_lift,1.0,1.0,0.815,0.1057,0.4479,-0.169,0.07393
42,3,Average,0.1,dyna_mask,1.0,1.0,0.5,0.2503,0.7885,-0.5097,-0.02105
42,3,Average,0.1,extremal_mask,1.0,1.0,0.385,0.321,0.9601,-0.6813,-0.1146
42,3,Average,0.1,fit,1.0,1.0,0.905,0.03787,0.3463,-0.06747,0.1506
42,3,Average,0.1,gradient_shap,1.0,1.0,0.805,0.12,0.473,-0.1942,0.0596
42,3,Average,0.1,integrated_gradients,1.0,1.0,0.815,0.1077,0.4518,-0.173,0.07044
42,3,Average,0.1,lime,1.0,1.0,0.84,0.09615,0.4339,-0.155,0.08666
42,3,Average,0.1,augmented_occlusion,1.0,1.0,0.8,0.1072,0.4565,-0.1777,0.07368
42,3,Average,0.1,occlusion,1.0,1.0,0.835,0.1139,0.4625,-0.1836,0.06478
42,3,Average,0.1,retain,1.0,1.0,0.91,0.03432,0.3404,-0.06151,0.1543
42,3,Average,0.2,deep_lift,1.0,1.0,0.685,0.1743,0.5807,-0.3018,0.02073
42,3,Average,0.2,dyna_mask,1.0,1.0,0.395,0.3329,1.087,-0.8079,-0.05881
42,3,Average,0.2,extremal_mask,1.0,1.0,0.415,0.3204,0.9579,-0.679,-0.1115
42,3,Average,0.2,fit,1.0,1.0,0.845,0.07833,0.4153,-0.1365,0.1043
42,3,Average,0.2,gradient_shap,1.0,1.0,0.685,0.1667,0.5681,-0.2892,0.02942
42,3,Average,0.2,integrated_gradients,1.0,1.0,0.69,0.1728,0.5774,-0.2985,0.02017
42,3,Average,0.2,lime,1.0,1.0,0.765,0.1311,0.5043,-0.2255,0.04869
42,3,Average,0.2,augmented_occlusion,1.0,1.0,0.72,0.1453,0.5398,-0.2609,0.04557
42,3,Average,0.2,occlusion,1.0,1.0,0.68,0.1705,0.5774,-0.2986,0.02323
42,3,Average,0.2,retain,1.0,1.0,0.89,0.04965,0.3734,-0.09449,0.1402
42,3,Average,0.3,deep_lift,1.0,1.0,0.675,0.1924,0.6139,-0.335,0.008576
42,3,Average,0.3,dyna_mask,1.0,1.0,0.395,0.3457,1.171,-0.8925,-0.05943
42,3,Average,0.3,extremal_mask,1.0,1.0,0.45,0.3041,0.9186,-0.6397,-0.0989
42,3,Average,0.3,fit,1.0,1.0,0.78,0.1118,0.476,-0.1972,0.07258
42,3,Average,0.3,gradient_shap,1.0,1.0,0.65,0.1829,0.6006,-0.3218,0.01646
42,3,Average,0.3,integrated_gradients,1.0,1.0,0.67,0.192,0.6172,-0.3384,0.01021
42,3,Average,0.3,lime,1.0,1.0,0.745,0.1444,0.5373,-0.2585,0.03602
42,3,Average,0.3,augmented_occlusion,1.0,1.0,0.675,0.1647,0.5794,-0.3005,0.02856
42,3,Average,0.3,occlusion,1.0,1.0,0.64,0.1921,0.6184,-0.3396,0.01148
42,3,Average,0.3,retain,1.0,1.0,0.875,0.07726,0.4156,-0.1368,0.1056
42,3,Average,0.4,deep_lift,1.0,1.0,0.635,0.2039,0.6396,-0.3608,0.005195
42,3,Average,0.4,dyna_mask,1.0,1.0,0.395,0.3481,1.18,-0.9012,-0.06215
42,3,Average,0.4,extremal_mask,1.0,1.0,0.505,0.2818,0.8516,-0.5728,-0.09187
42,3,Average,0.4,fit,1.0,1.0,0.755,0.1248,0.4911,-0.2123,0.06115
42,3,Average,0.4,gradient_shap,1.0,1.0,0.645,0.1967,0.6315,-0.3526,0.009043
42,3,Average,0.4,integrated_gradients,1.0,1.0,0.645,0.2009,0.6343,-0.3555,0.006665
42,3,Average,0.4,lime,1.0,1.0,0.705,0.16,0.5724,-0.2936,0.03433
42,3,Average,0.4,augmented_occlusion,1.0,1.0,0.63,0.1842,0.6169,-0.338,0.01872
42,3,Average,0.4,occlusion,1.0,1.0,0.64,0.1969,0.6224,-0.3435,0.006699
42,3,Average,0.4,retain,1.0,1.0,0.81,0.1016,0.4553,-0.1764,0.08688
42,3,Average,0.5,deep_lift,1.0,1.0,0.63,0.205,0.6447,-0.3659,0.002624
42,3,Average,0.5,dyna_mask,1.0,1.0,0.39,0.3475,1.179,-0.9003,-0.06116
42,3,Average,0.5,extremal_mask,1.0,1.0,0.54,0.2599,0.7899,-0.5111,-0.08935
42,3,Average,0.5,fit,1.0,1.0,0.725,0.1417,0.5238,-0.245,0.04948
42,3,Average,0.5,gradient_shap,1.0,1.0,0.605,0.2008,0.6391,-0.3602,0.009133
42,3,Average,0.5,integrated_gradients,1.0,1.0,0.615,0.2067,0.6477,-0.3688,0.0022
42,3,Average,0.5,lime,1.0,1.0,0.7,0.1815,0.611,-0.3321,0.03505
42,3,Average,0.5,augmented_occlusion,1.0,1.0,0.64,0.1919,0.6308,-0.352,0.01219
42,3,Average,0.5,occlusion,1.0,1.0,0.615,0.2031,0.6354,-0.3565,-0.001141
42,3,Average,0.5,retain,1.0,1.0,0.785,0.1182,0.4795,-0.2007,0.06664
42,3,Average,0.6,deep_lift,1.0,1.0,0.615,0.2053,0.6397,-0.3608,0.003478
42,3,Average,0.6,dyna_mask,1.0,1.0,0.395,0.3467,1.177,-0.8981,-0.06121
42,3,Average,0.6,extremal_mask,1.0,1.0,0.56,0.2523,0.7693,-0.4904,-0.08837
42,3,Average,0.6,fit,1.0,1.0,0.7,0.1532,0.5496,-0.2707,0.03531
42,3,Average,0.6,gradient_shap,1.0,1.0,0.635,0.2068,0.6496,-0.3707,0.002163
42,3,Average,0.6,integrated_gradients,1.0,1.0,0.61,0.2044,0.6417,-0.3628,0.003204
42,3,Average,0.6,lime,1.0,1.0,0.66,0.1883,0.6227,-0.3438,0.03165
42,3,Average,0.6,augmented_occlusion,1.0,1.0,0.62,0.197,0.6436,-0.3647,0.006354
42,3,Average,0.6,occlusion,1.0,1.0,0.62,0.2046,0.6353,-0.3565,-0.001363
42,3,Average,0.6,retain,1.0,1.0,0.75,0.1427,0.5251,-0.2463,0.04739
42,3,Zeros,0.1,deep_lift,1.0,1.0,0.775,0.1221,0.4805,-0.2017,0.1324
42,3,Zeros,0.1,dyna_mask,1.0,1.0,0.405,0.3099,0.9196,-0.6408,-0.01112
42,3,Zeros,0.1,extremal_mask,1.0,1.0,0.22,0.4278,1.227,-0.9484,-0.1447
42,3,Zeros,0.1,fit,1.0,1.0,0.92,0.04747,0.3559,-0.07704,0.2156
42,3,Zeros,0.1,gradient_shap,1.0,1.0,0.76,0.1398,0.5085,-0.2296,0.113
42,3,Zeros,0.1,integrated_gradients,1.0,1.0,0.78,0.125,0.486,-0.2071,0.1259
42,3,Zeros,0.1,lime,1.0,1.0,0.815,0.1097,0.4539,-0.175,0.1405
42,3,Zeros,0.1,augmented_occlusion,1.0,1.0,0.805,0.1254,0.4805,-0.2016,0.1218
42,3,Zeros,0.1,occlusion,1.0,1.0,0.79,0.1341,0.5001,-0.2213,0.1169
42,3,Zeros,0.1,retain,1.0,1.0,0.91,0.03908,0.3499,-0.07108,0.2218
42,3,Zeros,0.2,deep_lift,1.0,1.0,0.665,0.198,0.6172,-0.3384,0.0688
42,3,Zeros,0.2,dyna_mask,1.0,1.0,0.35,0.3837,1.186,-0.9076,-0.04842
42,3,Zeros,0.2,extremal_mask,1.0,1.0,0.2,0.4306,1.231,-0.9526,-0.1408
42,3,Zeros,0.2,fit,1.0,1.0,0.815,0.09875,0.4389,-0.16,0.1556
42,3,Zeros,0.2,gradient_shap,1.0,1.0,0.655,0.1893,0.6018,-0.323,0.07507
42,3,Zeros,0.2,integrated_gradients,1.0,1.0,0.67,0.1972,0.6153,-0.3365,0.06905
42,3,Zeros,0.2,lime,1.0,1.0,0.76,0.1452,0.5218,-0.243,0.1074
42,3,Zeros,0.2,augmented_occlusion,1.0,1.0,0.705,0.1713,0.5628,-0.2839,0.0861
42,3,Zeros,0.2,occlusion,1.0,1.0,0.67,0.1923,0.6088,-0.33,0.07059
42,3,Zeros,0.2,retain,1.0,1.0,0.86,0.05867,0.3879,-0.109,0.2033
42,3,Zeros,0.3,deep_lift,1.0,1.0,0.645,0.2238,0.66,-0.3811,0.05013
42,3,Zeros,0.3,dyna_mask,1.0,1.0,0.335,0.3955,1.243,-0.9644,-0.05138
42,3,Zeros,0.3,extremal_mask,1.0,1.0,0.22,0.4107,1.156,-0.8772,-0.1259
42,3,Zeros,0.3,fit,1.0,1.0,0.735,0.1492,0.5218,-0.2429,0.1077
42,3,Zeros,0.3,gradient_shap,1.0,1.0,0.65,0.2059,0.6237,-0.3449,0.05988
42,3,Zeros,0.3,integrated_gradients,1.0,1.0,0.67,0.2238,0.661,-0.3821,0.05333
42,3,Zeros,0.3,lime,1.0,1.0,0.73,0.1608,0.5527,-0.2738,0.09245
